"filename", "language", "Batch", "Python", "Markdown", "JSON", "JavaScript", "PostCSS", "HTML", "XML", "pip requirements", "comment", "blank", "total"
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\changelists.css", "PostCSS", 0, 0, 0, 0, 0, 273, 0, 0, 0, 8, 63, 344
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\dark_mode.css", "PostCSS", 0, 0, 0, 0, 0, 96, 0, 0, 0, 6, 29, 131
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\dashboard.css", "PostCSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 7, 30
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\forms.css", "PostCSS", 0, 0, 0, 0, 0, 387, 0, 0, 0, 12, 100, 499
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\login.css", "PostCSS", 0, 0, 0, 0, 0, 49, 0, 0, 0, 1, 12, 62
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\nav_sidebar.css", "PostCSS", 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 26, 151
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\responsive.css", "PostCSS", 0, 0, 0, 0, 0, 677, 0, 0, 0, 31, 201, 909
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\responsive_rtl.css", "PostCSS", 0, 0, 0, 0, 0, 70, 0, 0, 0, 2, 18, 90
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\rtl.css", "PostCSS", 0, 0, 0, 0, 0, 223, 0, 0, 0, 8, 63, 294
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\unusable_password_field.css", "PostCSS", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 4, 20
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\vendor\select2\LICENSE-SELECT2.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\vendor\select2\select2.css", "PostCSS", 0, 0, 0, 0, 0, 425, 0, 0, 0, 0, 57, 482
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\vendor\select2\select2.min.css", "PostCSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\widgets.css", "PostCSS", 0, 0, 0, 0, 0, 503, 0, 0, 0, 9, 102, 614
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\calendar-icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 1, 64
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\gis\move_vertex_off.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\gis\move_vertex_on.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
